,coadd_object_id,ra,dec,z,err_z,flag_des,survey,flag_survey,mag_auto_g_dered,mag_auto_r_dered,mag_auto_i_dered,mag_auto_z_dered,mag_auto_y_dered,magerr_auto_g,magerr_auto_r,magerr_auto_i,magerr_auto_z,magerr_auto_y
3208,1274263024,36.325368,-4.713485,0.3119,99.0,4,VVDS,4.0,23.956958770751953,23.100645065307617,23.004350662231445,22.885929107666016,22.843387603759766,0.09917813539505005,0.060940392315387726,0.09567766636610031,0.16260448098182678,0.4630764126777649
6094,958172849,334.898477,-0.008002,0.1105,99.0,4,VVDS,4.0,20.88086700439453,20.3072566986084,20.030330657958984,19.870168685913086,19.85848045349121,0.012490869499742985,0.008880788460373878,0.010202953591942787,0.017126310616731644,0.06863630563020706
817,957415034,335.20587,1.148942,0.2035,99.0,4,VVDS,4.0,20.590280532836914,20.013090133666992,19.82788848876953,19.709863662719727,19.858566284179688,0.012860738672316074,0.009852243587374687,0.013336323201656342,0.023201853036880493,0.08332095295190811
1111,958308179,334.651742,-0.517881,0.8289,99.0,4,VVDS,4.0,23.70179557800293,22.909820556640625,22.174118041992188,21.546606063842773,21.578041076660156,0.15699532628059387,0.09430906176567078,0.07146643847227097,0.07847324013710022,0.3225860297679901
6262,958199260,334.67483,-0.261615,0.3991,99.0,4,VVDS,4.0,22.353370666503906,21.696643829345703,21.740034103393555,21.53191566467285,22.278627395629883,0.05683356150984764,0.04233931750059128,0.059381723403930664,0.09206977486610413,0.7059217095375061
2341,955483174,333.954596,0.173154,0.3981,99.0,3,VVDS,3.0,22.227628707885742,21.458694458007812,21.193984985351562,20.828733444213867,21.263656616210938,0.060125745832920074,0.03954557701945305,0.04432201758027077,0.0583953931927681,0.3694840669631958
4668,960357371,335.394684,0.029243,0.8771,99.0,3,VVDS,3.0,23.667339324951172,22.80919075012207,21.99260139465332,21.688980102539062,21.89151382446289,0.11136789619922638,0.06676473468542099,0.047645535320043564,0.06539268791675568,0.3288995623588562
4152,955485740,334.303042,0.144875,0.3841,99.0,4,VVDS,4.0,22.20246696472168,20.444272994995117,19.86171531677246,19.558156967163086,19.52993392944336,0.04442528262734413,0.011229553259909153,0.009767076931893826,0.014207382686436176,0.06050265207886696
1264,958200586,335.012098,-0.273162,0.6356,99.0,4,VVDS,4.0,23.85213851928711,22.778167724609375,22.325843811035156,22.180252075195312,21.79249382019043,0.11719085276126862,0.05733397603034973,0.057215627282857895,0.09924507886171341,0.278413325548172
990,954065666,333.773085,0.015852,0.3303,99.0,4,VVDS,4.0,20.944549560546875,19.4135799407959,18.822816848754883,18.43756103515625,18.313255310058594,0.01908751018345356,0.0062795779667794704,0.005611769389361143,0.006909837946295738,0.024781888350844383
5152,1278943154,36.935494,-4.514581,0.6733,99.0,4,VVDS,4.0,23.69824981689453,22.743743896484375,22.189170837402344,21.924386978149414,21.968528747558594,0.10906697809696198,0.057864267379045486,0.06118319183588028,0.09061899781227112,0.2507524788379669
1739,957413660,335.21636,1.167382,0.6034,99.0,4,VVDS,4.0,22.886167526245117,21.400680541992188,20.62421417236328,20.359966278076172,20.339719772338867,0.07044202834367752,0.025247741490602493,0.020461495965719223,0.03231421113014221,0.08761807531118393
2812,1279115207,36.637189,-4.775902,0.7871,99.0,4,VVDS,4.0,24.312641143798828,22.86665153503418,21.950143814086914,21.583011627197266,21.729705810546875,0.18634770810604095,0.06107227876782417,0.04976945370435715,0.06327861547470093,0.19982489943504333
353,958120360,334.764057,0.472354,0.8173,99.0,3,VVDS,3.0,23.39158821105957,22.91136360168457,22.29298973083496,22.17205238342285,22.37767219543457,0.08215497434139252,0.06828466802835464,0.059708014130592346,0.10207809507846832,0.4821162819862366
4824,1278910080,36.740737,-4.146549,0.897,99.0,3,VVDS,3.0,23.18537139892578,22.395763397216797,21.668384552001953,21.362316131591797,21.043689727783203,0.09359794110059738,0.05549539625644684,0.04953630268573761,0.08152646571397781,0.14437104761600494
2792,1278935449,36.897541,-4.432091,0.7865,99.0,4,VVDS,4.0,23.60209846496582,23.072669982910156,22.467483520507812,22.525068283081055,22.095359802246094,0.09435849636793137,0.07486720383167267,0.07178839296102524,0.15808257460594177,0.2320445030927658
4440,955482114,334.002622,0.182753,0.4149,99.0,3,VVDS,3.0,22.357263565063477,20.493480682373047,19.915964126586914,19.60067367553711,19.528427124023438,0.04685208573937416,0.011295538395643234,0.009988266974687576,0.013424661941826344,0.04553721472620964
1489,955760758,334.349916,-0.013442,1.0961,99.0,4,VVDS,4.0,22.817075729370117,22.22432518005371,21.4926700592041,20.817665100097656,20.78845977783203,0.06699855625629425,0.049779728055000305,0.03815581277012825,0.0419488400220871,0.14948034286499023
4236,955469967,334.511731,0.310622,0.9137,99.0,3,VVDS,3.0,22.853458404541016,22.24485969543457,21.97624397277832,21.786636352539062,21.841903686523438,0.061188094317913055,0.0445619635283947,0.05317969247698784,0.08958285301923752,0.2961827516555786
1228,958309305,334.703786,-0.527093,0.6078,99.0,3,VVDS,3.0,25.025527954101562,22.813331604003906,21.928699493408203,21.391616821289062,21.400691986083984,0.36073625087738037,0.05936283990740776,0.040093231946229935,0.048403214663267136,0.15717768669128418
3467,1274255840,36.335897,-4.635008,0.6353,99.0,4,VVDS,4.0,23.39482879638672,22.71944808959961,22.443296432495117,22.30122184753418,22.265409469604492,0.0702282041311264,0.05026315897703171,0.06650938093662262,0.11206476390361786,0.29343515634536743
2818,1279118609,36.68091,-4.814,0.969,99.0,3,VVDS,3.0,22.919090270996094,22.73118019104004,22.045074462890625,21.811595916748047,21.907224655151367,0.07108119875192642,0.077138252556324,0.07512324303388596,0.114278145134449,0.3392799198627472
3049,1278933919,36.710296,-4.414194,0.7672,99.0,4,VVDS,4.0,22.77875328063965,22.251758575439453,21.582000732421875,21.429597854614258,21.53850746154785,0.04911664128303528,0.03843839466571808,0.0359489805996418,0.06620396673679352,0.18138782680034637
5999,1278914512,36.457541,-4.195049,0.9599,99.0,4,VVDS,4.0,24.138099670410156,22.803173065185547,21.676387786865234,21.027633666992188,20.98027229309082,0.167573943734169,0.06183451786637306,0.038513123989105225,0.041472844779491425,0.11214049905538559
5929,1278948668,36.509117,-4.575369,1.4553,99.0,4,VVDS,4.0,23.349340438842773,23.10329818725586,22.824325561523438,22.27818489074707,22.714139938354492,0.059309009462594986,0.06264837086200714,0.08603674173355103,0.09748487919569016,0.3882581293582916
52,1278949192,36.928637,-4.582947,0.6037,99.0,4,VVDS,4.0,22.628273010253906,21.435138702392578,20.840179443359375,20.573143005371094,20.586315155029297,0.061180002987384796,0.026553409174084663,0.02680758386850357,0.0410669781267643,0.09862951934337616
4900,1274261913,36.284585,-4.702133,1.1136,99.0,3,VVDS,3.0,23.21302032470703,22.408058166503906,22.07470703125,21.810640335083008,21.70693016052246,0.07827578485012054,0.04699654504656792,0.07297246158123016,0.09382778406143188,0.24202552437782288
3106,1278926715,36.572279,-4.33006,0.5821,99.0,4,VVDS,4.0,23.35127067565918,22.64671516418457,22.30118179321289,22.238327026367188,22.01556396484375,0.07223451882600784,0.04344538226723671,0.05881074070930481,0.10762796550989151,0.23035554587841034
159,1278916418,36.850244,-4.216385,0.3437,99.0,3,VVDS,3.0,24.234270095825195,22.97016143798828,22.885211944580078,22.63752555847168,22.785293579101562,0.14546005427837372,0.057966917753219604,0.09732366353273392,0.16232526302337646,0.5009499192237854
3742,955762532,333.904117,-0.033245,0.2866,99.0,4,VVDS,4.0,20.967817306518555,20.560041427612305,20.448101043701172,20.462623596191406,20.638927459716797,0.01093969028443098,0.009994884952902794,0.01374073512852192,0.02786838822066784,0.11839990317821503
1587,957412507,335.173558,1.179947,0.2495,99.0,3,VVDS,3.0,22.783586502075195,22.03658103942871,21.71233558654785,21.640960693359375,21.568418502807617,0.05447307229042053,0.03689882159233093,0.04374692961573601,0.08077114075422287,0.23588554561138153
1589,955787127,334.52308,-0.296475,0.6772,99.0,4,VVDS,4.0,23.333425521850586,22.21017837524414,21.547616958618164,21.297700881958008,21.465871810913086,0.08497769385576248,0.038942623883485794,0.029451360926032066,0.04565002769231796,0.18860556185245514
1479,955864547,334.53999,-0.342806,0.6552,99.0,4,VVDS,4.0,25.329345703125,23.212223052978516,22.207473754882812,21.779027938842773,21.44341468811035,0.6391889452934265,0.1097266674041748,0.06630898267030716,0.08421365916728973,0.23728452622890472
1469,958298533,335.056111,-0.424369,0.2097,99.0,3,VVDS,3.0,22.790613174438477,22.467573165893555,22.2968807220459,22.273767471313477,21.79945182800293,0.04560724273324013,0.043650563806295395,0.05596555396914482,0.10144655406475067,0.2652168869972229
4575,958094125,334.90011,0.730012,0.2839,99.0,3,VVDS,3.0,22.610313415527344,21.931917190551758,21.835792541503906,21.667022705078125,22.628374099731445,0.04186858981847763,0.03018219582736492,0.04412585869431496,0.07312753051519394,0.6188707947731018
5772,958290553,335.188187,-0.351185,0.2471,99.0,4,VVDS,4.0,22.177125930786133,21.232311248779297,20.870304107666016,20.587968826293945,20.74557113647461,0.03314099833369255,0.01884317584335804,0.019710958003997803,0.028413161635398865,0.1458728313446045
2864,1278901539,36.403267,-4.050392,0.971,99.0,3,VVDS,3.0,23.36697006225586,23.328222274780273,22.755144119262695,22.96275520324707,22.624422073364258,0.06342517584562302,0.07571791112422943,0.0813610628247261,0.21446065604686737,0.34791043400764465
2078,954055302,333.505533,0.129209,0.5937,99.0,3,VVDS,3.0,24.165023803710938,22.78592872619629,22.192399978637695,21.84044647216797,21.560802459716797,0.16845369338989258,0.06361363083124161,0.0577581487596035,0.08302181214094162,0.20557209849357605
4071,956438950,334.233775,0.412775,0.5416,99.0,3,VVDS,3.0,22.593984603881836,21.603984832763672,21.242345809936523,20.934926986694336,20.807065963745117,0.04975727200508118,0.02861224301159382,0.030853284522891045,0.04287160933017731,0.13107424974441528
6238,958188174,334.900706,-0.155009,0.8904,99.0,4,VVDS,4.0,23.62700080871582,22.685754776000977,21.555988311767578,20.8724308013916,20.44930076599121,0.13513876497745514,0.07314062118530273,0.03981124609708786,0.039261799305677414,0.1132853701710701
6246,954479868,333.890129,-0.237452,0.4665,99.0,4,VVDS,4.0,22.591873168945312,21.621301651000977,21.416271209716797,21.221773147583008,20.97096824645996,0.04763614013791084,0.026854122057557106,0.03412856534123421,0.06352125108242035,0.13351407647132874
6021,1278927841,36.629612,-4.342819,0.9192,99.0,3,VVDS,3.0,23.33128547668457,23.226821899414062,22.438554763793945,22.13716697692871,23.31423568725586,0.09357716143131256,0.09819258749485016,0.08544427901506424,0.12894600629806519,0.9953356981277466
436,955002482,333.766899,0.927474,0.2899,99.0,4,VVDS,4.0,21.779829025268555,20.90093421936035,20.565195083618164,20.39430809020996,20.322359085083008,0.02606252394616604,0.015596238896250725,0.01757402904331684,0.029423100873827934,0.08645880222320557
