,ra,dec,z,mag_auto_g_dered,mag_auto_r_dered,mag_auto_i_dered,mag_auto_z_dered,mag_auto_y_dered,magerr_auto_g,magerr_auto_r,magerr_auto_i,magerr_auto_z,magerr_auto_y
1679,334.995743,-0.514575,0.9119,23.132829666137695,22.16318130493164,21.51824951171875,21.18767738342285,21.242557525634766,0.08874442428350449,0.04823776334524155,0.0400734506547451,0.04898890480399132,0.2387734204530716
1680,333.994528,-0.049896,0.4192,22.6503849029541,21.811737060546875,21.56028938293457,21.494369506835938,21.480777740478516,0.047718700021505356,0.028341073542833328,0.0339946374297142,0.06380873918533325,0.2095746546983719
1681,333.97848,-0.027536,0.0573,21.155078887939453,20.5986328125,20.38274383544922,20.220312118530273,20.1917724609375,0.013692558743059635,0.010789276100695133,0.013377977535128593,0.02068963646888733,0.07239004224538803
1682,333.9037,-0.407536,0.4451,22.044639587402344,20.991806030273438,20.662893295288086,20.339868545532227,20.305618286132812,0.029247436672449112,0.014612855389714241,0.016161536797881126,0.02396940439939499,0.07157113403081894
1683,335.06892,-0.218238,0.3821,22.602848052978516,21.72673225402832,21.693727493286133,21.379976272583008,21.884496688842773,0.051630545407533646,0.03223791718482971,0.04707211256027222,0.06336596608161926,0.41317030787467957
1684,334.015026,-0.047668,0.3309,21.336225509643555,20.26929473876953,19.85418128967285,19.562744140625,19.59613037109375,0.018947560340166092,0.009327365085482597,0.00963652040809393,0.014865015633404255,0.04789845272898674
1685,334.425249,-0.032046,0.1424,21.548376083374023,21.129180908203125,20.965803146362305,20.917665481567383,20.305635452270508,0.017764760181307793,0.015813007950782776,0.020374609157443047,0.040409237146377563,0.0714697316288948
1686,333.911145,-0.405511,0.3327,22.747400283813477,22.039535522460938,21.820884704589844,21.680437088012695,22.267423629760742,0.06503552943468094,0.038803838193416595,0.04769061878323555,0.08068449050188065,0.4749378263950348
1687,333.458825,-0.048184,0.5385,22.820724487304688,21.23197364807129,20.546812057495117,20.200809478759766,20.182958602905273,0.07013896852731705,0.022313864901661873,0.01774352230131626,0.025836242362856865,0.08006482571363449
1688,334.384465,-0.010184,0.5535,22.130678176879883,21.66931915283203,21.35069465637207,21.447463989257812,21.27326774597168,0.03546200320124626,0.02883107215166092,0.032219596207141876,0.07297360152006149,0.23858265578746796
1689,335.032796,-0.362227,0.2468,21.831340789794922,21.21653175354004,21.03106689453125,20.980329513549805,21.221710205078125,0.024408254772424698,0.017362874001264572,0.0221653264015913,0.041424866765737534,0.20676955580711365
1690,335.026471,-0.515603,0.7692,22.941638946533203,22.352933883666992,21.760921478271484,21.53293228149414,22.038450241088867,0.06522636115550995,0.05144389718770981,0.04441436380147934,0.06263872981071472,0.5251254439353943
1691,333.991761,-0.014296,0.6158,23.02181053161621,21.911901473999023,21.545795440673828,21.511857986450195,21.21552085876465,0.08150975406169891,0.03200916573405266,0.03576533496379852,0.07948136329650879,0.20629486441612244
1692,334.644521,-0.35959,0.281,22.948204040527344,22.1373233795166,22.11549186706543,21.984416961669922,22.6315860748291,0.0760980024933815,0.047765664756298065,0.06953240931034088,0.12265346199274063,0.7440399527549744
1693,333.980923,-0.007914,0.3734,20.451757431030273,19.03945541381836,18.53553009033203,18.213987350463867,18.09711265563965,0.013765281066298485,0.004565496928989887,0.0043820408172905445,0.005935091525316238,0.02198965847492218
1694,334.913208,-0.488744,0.37,23.03421401977539,21.8171443939209,21.39483642578125,20.924245834350586,20.6420841217041,0.06772758066654205,0.0283134113997221,0.02885792776942253,0.03242335096001625,0.10964581370353699
1695,334.653259,-0.354279,0.4689,22.669601440429688,21.967073440551758,21.80129051208496,21.82666778564453,21.97649383544922,0.05806097760796547,0.03942059725522995,0.050550349056720734,0.09965856373310089,0.39286383986473083
1696,334.973675,-0.504796,0.5431,23.43910026550293,21.719940185546875,21.00393295288086,20.534849166870117,20.46926498413086,0.13902980089187622,0.03605234622955322,0.02890896052122116,0.03285350278019905,0.128231942653656
1697,334.447068,-0.131584,0.2421,21.588605880737305,20.959335327148438,20.728330612182617,20.56289291381836,20.567564010620117,0.02589474618434906,0.018518874421715736,0.022580232471227646,0.03560395538806915,0.13288238644599915
1698,334.656817,-0.402561,0.4827,23.200546264648438,21.719594955444336,21.225313186645508,20.78406524658203,20.54659652709961,0.08771918714046478,0.030222784727811813,0.028648486360907555,0.04145396500825882,0.10879714041948318
1699,333.943801,-0.437487,0.7976,23.1912841796875,22.532272338867188,21.938859939575195,21.735593795776367,22.095949172973633,0.08675744384527206,0.053095463663339615,0.048969876021146774,0.07234189659357071,0.42283084988594055
1700,334.412943,-0.013997,0.593,23.217893600463867,22.474462509155273,22.260103225708008,22.316801071166992,23.233570098876953,0.07878462225198746,0.049825526773929596,0.06115994602441788,0.1321084201335907,1.1235861778259277
1701,334.421112,-0.005523,0.6116,23.66851234436035,22.71650505065918,22.36920166015625,22.14496421813965,21.80710220336914,0.10492350906133652,0.05761321261525154,0.06679756939411163,0.09957549721002579,0.2758307456970215
1702,335.122876,-0.403342,0.5781,19.280349731445312,17.945833206176758,17.407228469848633,17.149751663208008,17.109628677368164,0.002693133894354105,0.0011069613974541426,0.0009424258605577052,0.0014684190973639488,0.00467604398727417
1703,334.451022,-0.051109,0.5268,22.950313568115234,21.680036544799805,21.21687889099121,20.94684410095215,20.95374298095703,0.06190881505608559,0.024338817223906517,0.023725708946585655,0.038499217480421066,0.1311199814081192
1704,333.862465,-0.47594,0.661,24.05220603942871,22.877588272094727,21.77910614013672,21.322208404541016,21.597986221313477,0.17397858202457428,0.07889913022518158,0.0439508780837059,0.05059094354510307,0.21859021484851837
1705,335.044105,-0.357674,0.6367,24.49346923828125,22.88751220703125,22.314533233642578,22.03199005126953,21.520645141601562,0.1860317587852478,0.05836285650730133,0.052163172513246536,0.07502847909927368,0.18040291965007782
1706,334.056266,-0.046115,0.3319,22.143510818481445,20.61241912841797,20.056425094604492,19.7567138671875,19.678194046020508,0.03381935879588127,0.010824249126017094,0.009644323959946632,0.014310693368315697,0.04533480107784271
1707,334.463853,-0.054878,0.199,21.881591796875,21.377517700195312,21.177480697631836,21.132478713989258,21.82640266418457,0.031114593148231506,0.02426251769065857,0.029864763841032982,0.05524696409702301,0.3731945753097534
1708,334.061205,-0.034119,0.5858,22.89805030822754,22.040836334228516,21.73271942138672,21.66849136352539,21.952482223510742,0.05333392322063446,0.03193584829568863,0.036361850798130035,0.0692625418305397,0.2905471622943878
1709,333.862282,-0.432517,0.7197,24.788673400878906,22.632043838500977,21.679170608520508,21.352527618408203,21.03856086730957,0.28556811809539795,0.05239255726337433,0.03340202942490578,0.047175850719213486,0.11585351079702377
1710,334.04584,-0.015489,0.586,23.185556411743164,21.549785614013672,20.907806396484375,20.64665985107422,20.309106826782227,0.10027157515287399,0.026853470131754875,0.022773923352360725,0.042511120438575745,0.08766668289899826
1711,334.962125,-0.449924,0.6198,22.72180938720703,21.52110481262207,20.738893508911133,20.469764709472656,20.292539596557617,0.05935891345143318,0.024966485798358917,0.018271448090672493,0.025253407657146454,0.08464429527521133
1712,334.967267,-0.449943,0.692,23.43539810180664,22.759204864501953,22.120067596435547,22.091094970703125,21.937063217163086,0.092283234000206,0.06278473138809204,0.052397117018699646,0.09047431498765945,0.31050097942352295
1713,334.673934,-0.357467,0.7392,23.7818546295166,22.8111629486084,21.822206497192383,21.24165916442871,21.12417221069336,0.1341622769832611,0.07157129794359207,0.043207455426454544,0.048508819192647934,0.14936432242393494
1714,334.998461,-0.225203,0.9082,24.765567779541016,22.354310989379883,21.115808486938477,20.438926696777344,20.182571411132812,0.4269872307777405,0.06518684327602386,0.03149651736021042,0.035614170134067535,0.10127546638250351
